,plsnt,attnt,snst,aptit,polarity_intense
👔,0.857,-0.56,0.0,0.721,0.713
🌀,-0.02,0.0,0.0,-0.08,-0.033
🚾,-0.09999999999999999,-0.035,0.0,-0.125,-0.063
👹,-0.82,0.0,0.635,-0.56,-0.672
🚻,-0.04,0.061,0.0,0.145,0.055
👬,0.0,0.1015,-0.053500000000000006,0.0935,0.047
🐽,-0.33149999999999996,0.0555,-0.41,0.0715,-0.205
🚜,-0.99,0.0,0.827,-0.54,-0.786
📅,0.0,0.0,0.063,-0.03,-0.031
💈,0.07,0.4125,-0.405,0.0,0.026
✔️,-0.42,0.20950000000000002,-0.2235,0.0014999999999999979,-0.144
🙎🏼,0.6206666666666667,0.5686666666666667,0.007,-0.02,0.387
🍸,0.061,0.029500000000000002,0.0125,0.037,0.038
🤷,0.921,0.884,0.0,0.0,0.602
🌂,0.106,0.162,0.037,0.32,0.184
🚓,0.786,0.4325,0.0,0.744,0.654
💘,0.154,0.165,-0.095,0.096,0.107
🚔,0.786,0.4325,0.0,0.744,0.654
👚,0.961,0.937,0.0,0.0,0.633
🐧,0.86,0.799,0.0,0.0,0.553
🍥,0.04633333333333333,0.007999999999999998,-0.02666666666666667,0.12466666666666666,0.051
🍵,-0.4,0.036,-0.4,-0.4215,-0.395
👓,0.214,0.258,-0.09,0.2,0.194
⛔,0.0,0.066,0.0,0.154,0.073
💂,0.049,0.139,-0.09,0.123,0.074
🆔,0.743,0.929,0.0,0.0,0.557
😕,0.3595,-0.45499999999999996,0.0,0.3695,0.395
🏊🏻,0.3894,0.3626,-0.0218,-0.026000000000000002,0.235
❗,-0.01,0.1565,-0.095,0.241,0.097
💭,0.45399999999999996,0.22399999999999998,0.0,-0.015,0.221
💬,0.0345,-0.135,0.0,0.05,0.073
🎴,0.027,0.093,0.025,0.071,0.055
⚖,-0.495,0.0625,0.43,-0.2615,-0.375
🛵,0.35850000000000004,-0.48000000000000004,0.0,0.4025,0.414
⬅️,0.883,-0.59,0.0,0.533,0.669
📒,0.97,0.791,0.0,0.0,0.587
😡,0.719,-0.58,0.0,0.739,0.679
🍦,-0.26833333333333337,0.06933333333333334,-0.010333333333333333,-0.15233333333333332,-0.121
❗️,0.0,0.158,-0.12,0.359,0.132
🌐,-0.8,0.0,-0.82,0.0,-0.54
🎡,0.0,-0.09,0.044,0.055,0.034
🤒,0.7635000000000001,0.067,0.0,0.3695,0.4
🎻,0.041,-0.66,0.0,0.356,0.352
😹,0.5765,0.09975,0.00325,0.2,0.291
🚮,-0.18275,0.061,0.17075,-0.12324999999999997,-0.139
👽,-0.03,0.118,0.472,-0.46,-0.281
🌝,0.6433333333333334,-0.427,0.016333333333333335,0.36166666666666664,0.472
🐆,-0.03,0.0,-0.08,0.0,-0.037
💔,-0.3205,0.165,-0.55,0.0715,-0.211
🎅🏻,0.342,0.30966666666666665,-0.019666666666666666,-0.02,0.204
👇🏽,0.05233333333333332,0.21,0.07433333333333333,-0.123,0.022
🍆,0.0,0.067,-0.09,-0.09,-0.038
👃🏽,0.25925,0.254,0.00525,0.06724999999999999,0.192
🐖,-0.72,0.0,-0.82,0.0,-0.513
😮,0.5006666666666666,-0.4766666666666666,-0.013333333333333334,0.289,0.418
➗,-0.26099999999999995,0.13933333333333334,-0.15333333333333335,0.051333333333333335,-0.075
⌚,0.788,0.873,0.0,0.0,0.554
🆎,0.743,0.929,0.0,0.0,0.557
👻,0.0,0.0,-0.79,-0.73,-0.507
🗻,0.799,0.0,0.0,0.747,0.515
😟,-0.11549999999999999,-0.29,-0.39,0.3695,0.051
💣,0.0,-0.03,-0.04,-0.19,-0.067
💁,0.902,0.14700000000000002,0.0,0.2665,0.438
🦀,-0.69,0.0,0.766,-0.82,-0.759
🎩,0.0625,0.053,-0.02,0.1185,0.071
👉🏾,0.3952,0.37039999999999995,0.1732,-0.004599999999999993,0.196
🙊,0.786,0.749,0.0,0.0,0.512
🍚,0.385,-0.005,0.0055,0.048,0.144
🍙,0.846,0.36,0.0,0.0,0.402
👩🏿,0.21325,0.36675,-0.27725,0.05875,0.121
👸🏼,0.6086666666666667,0.27399999999999997,0.007,0.3073333333333333,0.394
😿,0.3735,-0.29,0.0065,0.4,0.352
😲,0.84,-0.72,0.0,0.3695,0.643
🔢,0.0,0.706,0.0,0.84,0.515
🚬,0.057,0.0,-0.08,-0.1,-0.041
💅,0.0,0.039,0.0135,0.14800000000000002,0.058
🏀,0.784,-0.78,0.0,0.0,0.521
🍷,0.0805,-0.035500000000000004,0.028,-0.013000000000000005,0.025
🙈,0.786,0.749,0.0,0.0,0.512
👭,0.0,0.1015,-0.053500000000000006,0.0935,0.047
🍯,0.3775,-0.41500000000000004,0.0,0.3305,0.374
🏰,0.021,0.119,0.0,0.129,0.09
🖨,0.757,0.895,0.0,0.0,0.551
🍨,-0.451,0.069,-0.02,-0.3025,-0.235
🆗,0.743,0.929,0.0,0.0,0.557
😩,0.85,-0.735,0.0,0.685,0.757
🎉,0.717,0.966,0.0,0.0,0.561
🤐,0.719,-0.58,0.0,0.739,0.679
🥡,0.0,-0.02,0.0,0.051,0.024
⚫️,-0.6,0.0,0.895,-0.54,-0.678
🏣,0.3735,0.487,0.0,0.0,0.287
🌹,0.019,0.0,0.0,0.047,0.022
🌯,0.132,0.1,0.063,0.159,0.109
▶️,0.942,-0.58,0.0,0.54,0.687
🔮,0.8360000000000001,0.07500000000000001,0.0,0.316,0.409
🙌,0.858,-0.77,0.0,0.735,0.788
🆚,0.743,0.929,0.0,0.0,0.557
🙆,0.921,0.884,0.0,0.0,0.602
🎒,0.021,0.33099999999999996,0.0,0.3835,0.245
💆,0.8915,0.91,0.0,0.0,0.6
🔰,-0.204,0.13266666666666668,0.26133333333333336,-0.08133333333333333,-0.138
🌜,0.6255,-0.10749999999999996,-0.015,0.221,0.313
🌕,0.6055,-0.3505,0.0245,0.173,0.368
🎑,0.868,-0.47,0.0,0.4425,0.594
😳,0.8,-0.29,0.0,0.8025,0.631
⚓,0.719,0.0,0.0,0.783,0.501
🐫,0.744,0.761,0.0,0.0,0.502
👂,0.785,-0.99,0.0,0.981,0.919
💃,0.608,-0.0675,-0.12,0.4205,0.325
🐼,0.3695,-0.2545,0.0,0.404,0.343
🍣,0.049,-0.01,0.0,0.0,0.02
🏧,0.037,0.073,0.0,0.098,0.069
🎠,0.0,0.0,0.0,0.071,0.024
🌴,0.721,-0.325,0.0,0.2515,0.433
😏,0.719,-0.58,0.0,0.739,0.679
🛅,0.455,-0.31,0.0135,0.319,0.357
💶,0.7905,0.8045,0.0,0.0,0.532
⚽,0.8875,0.8160000000000001,0.0,0.0,0.568
🏫,0.0,0.712,0.0,0.767,0.493
😃,0.378,-0.245,0.0245,0.481,0.36
⛺,0.783,0.0,0.0,0.0,0.261
🚥,-0.28733333333333333,0.035666666666666666,0.303,-0.28300000000000003,-0.279
💵,0.405,0.47750000000000004,0.0095,0.029,0.301
🍺,0.578,-0.366,-0.045,0.1,0.333
💀,0.0,0.075,0.0,0.046,0.04
🌅,0.0,0.071,0.0,0.0,0.024
🐜,0.0,-0.07,0.116,-0.12,-0.055
♣️,0.202,-0.04,0.0,0.0,0.081
🔔,0.034,0.0,0.01,0.087,0.037
🙆🏿,0.2855,0.4265,-0.21725,-0.015,0.16
