,plsnt,attnt,snst,aptit,polarity_intense
ทำพาสปอร์ต,0.082,0.184,-0.07,0.208,0.135
แกงเผ็ด,0.0,0.083,0.0,0.0,0.028
ผู้สำเร็จการศึกษา,0.053,-0.12,0.015,-0.03,0.043
ลิ้นชัก,0.0,0.983,0.0,0.0,0.328
ร้องทุกข์,-0.015,0.11,0.434,-0.3,-0.213
กะหล่ำปลีแดง,0.0,0.067,-0.09,-0.09,-0.038
เกร็ด,0.016,-0.056,-0.151,0.198,0.04
บำเหน็จ,0.163,0.148,0.066,-0.218,0.009
กีฬากลางแจ้ง,0.0,-0.06,0.014,0.078,0.041
ภูเขา,0.281,0.203,-0.07,0.184,0.199
ไม้ขนไก่,0.038,-0.66,0.0,0.355,0.351
ความเกี่ยวพันระหว่างกัน,-0.81,0.0,0.931,-0.77,-0.837
รังสีคอสมิก,0.0,0.0,-0.07,-0.16,-0.077
แก่หง่อม,0.0,0.078,0.0,0.096,0.058
อนุกรม,0.887,-0.81,0.0,0.613,0.77
๒๘,0.715,-1.0,0.0,0.0,0.572
กินอาหาร,0.0,0.148,0.0,0.148,0.099
หาด,0.03,0.117,0.0,0.084,0.077
ผู้อุดหนุน,0.0,0.123,-0.07,0.097,0.05
นายทุน,0.011,-0.48,0.037,0.44,0.298
ขาว,0.0,0.764,0.0,0.699,0.488
เดาะลิ้น,0.0,0.15,0.067,0.118,0.067
รูกระสุน,-0.52,0.0,0.785,-0.61,-0.638
ผู้ว่าราชการ,0.034,0.156,-0.05,0.099,0.08
โรเดียม,-0.05,0.0,0.031,-0.03,-0.037
ทำศึก,-0.05,0.0,-0.11,-0.19,-0.117
นกต่อ,-0.14,0.098,0.662,-0.65,-0.451
ปรับปรุงให้ดีขึ้น,0.0,0.0,0.0,0.1,0.033
ขว้าง,0.185,-0.012,-0.212,-0.088,-0.034
ตำรวจจราจร,0.0,0.066,-0.05,0.095,0.037
อัตรา,0.0,0.281,0.0,0.206,0.162
วันพระราชสมภพ,0.863,0.0,0.0,0.878,0.58
ดีเทอร์มิแนนต์,-0.84,0.0,0.627,-0.76,-0.742
ไฮโดรเจนเพอร์ออกไซด์,0.0,0.0,-0.05,-0.07,-0.04
สัมพันธ์,0.02,0.093,0.0,0.223,0.112
ความจริง,0.804,0.958,0.0,0.498,0.753
โลโก้,0.984,0.884,0.0,0.0,0.623
การเดินป่า,-0.81,0.0,0.0,0.0,-0.27
นำสมัย,0.593,0.6,0.0,0.881,0.691
ปูนซีเมนต์,0.0,0.127,-0.04,0.194,0.094
กลักไม้ขีด,0.087,0.113,-0.08,0.0,0.04
ด้วยกัน,0.211,0.103,-0.08,0.256,0.163
นกรัฟ,0.022,-0.11,0.014,0.057,0.058
การฉ้อโกง,0.931,-0.71,0.0,0.63,0.757
จรรยา,0.068,0.143,-0.063,0.503,0.217
เพิ่ม,0.163,0.12,0.176,0.284,0.13
โดยปกติ,0.0,0.152,0.0,0.119,0.09
บุรุษสรรพนาม,0.0,0.156,-0.06,0.241,0.112
นักยิงธนู,0.0,0.0,-0.11,-0.12,-0.077
ต่าง,-0.04,0.082,0.0,0.077,0.04
แปลว่า,0.766,0.747,0.0,0.0,0.504
สมดุล,-0.49,0.062,0.037,-0.326,-0.264
การกบฏ,0.0,0.0,0.859,-0.8,-0.553
การเติบโต,0.02,0.192,-0.14,0.198,0.09
ปฏิชีวนะ,-0.99,0.0,-0.82,0.0,-0.603
ศิลปะการต่อสู้,0.789,0.843,0.0,0.0,0.544
สื่อสิ่งพิมพ์,0.444,0.782,0.0,0.38,0.535
ล้าสมัย,-0.016,-0.173,-0.094,-0.407,-0.115
ห้าสิบ,0.0,0.0,0.063,-0.03,-0.031
การตรึงกางเขน,-0.79,0.0,-0.85,0.0,-0.547
ห้องสมุด,0.0,0.076,0.0,0.066,0.047
รุนแรงขึ้น,0.737,-0.8,0.0,0.611,0.716
ไซน์,0.717,0.955,0.0,0.0,0.557
ความไร้ประโยชน์,0.909,-0.73,0.0,0.635,0.758
เปิด,0.333,0.242,-0.018,0.178,0.245
คู่ความ,0.071,-0.04,0.0,0.0,0.037
แก้ว,0.0,0.069,0.025,0.074,0.039
ศักดา,-0.415,0.481,0.429,0.037,-0.109
แล้ว,0.702,-0.65,0.0,0.788,0.713
ห้องขายตั๋ว,0.0,0.0,-0.1,-0.04,-0.047
วิถีทาง,-0.87,0.0,-0.77,0.0,-0.547
ไล่ตาม,0.927,0.773,0.0,0.0,0.567
รางวัล,0.551,0.455,0.119,0.16,0.349
ลัด,0.05,0.166,-0.07,0.152,0.099
ห้อเลือด,-0.69,0.0,0.517,-0.61,-0.606
วงเล็บ,-0.95,0.0,0.971,0.0,-0.64
อบอวล,0.968,-0.76,0.0,0.583,0.77
ซุ่มซ่าม,-0.71,0.0,0.924,-0.54,-0.725
ก๊าซเรือนกระจก,-0.77,0.0,0.0,-0.98,-0.583
การขัดขวาง,0.942,-0.79,0.0,0.901,0.878
สดุดี,0.364,0.867,0.0,0.362,0.531
การตีความ,-0.435,0.055,0.386,-0.378,-0.381
ลมปาก,0.996,0.0,0.0,0.0,0.332
การชำระล้าง,-0.6,0.0,0.992,-0.94,-0.844
แม่ชี,0.047,0.204,-0.13,0.171,0.097
เข็น,0.0,0.175,-0.11,0.281,0.115
วัตถุโบราณ,-0.69,0.0,0.957,-0.92,-0.856
ชาเขียว,0.092,0.0,0.0,0.0,0.031
เกย์,0.547,-0.85,0.0,0.924,0.774
พรางตัว,0.0,0.0,-0.07,0.0,-0.023
ร่างกายมนุษย์,0.026,0.069,0.0,0.0,0.032
เข้ากับ,0.087,0.113,-0.08,0.0,0.04
สถานที่เกิด,0.881,0.991,0.0,0.0,0.624
กายวิภาคศาสตร์,0.0,0.078,0.0,0.096,0.058
กลยุทธ์,0.356,0.353,0.438,-0.47,-0.066
